Date,USD - US dollar
3/21/2022,2910.84
3/20/2022,2912.87
3/19/2022,2912.87
3/18/2022,2912.87
3/17/2022,2900.59
3/16/2022,2904.55
3/15/2022,2893.86
3/14/2022,2892.7
3/13/2022,2883.17
3/12/2022,2883.17
3/11/2022,2883.17
3/10/2022,2877.78
3/9/2022,2876.32
3/8/2022,2874.58
3/7/2022,2874.58
3/6/2022,2873.32
3/5/2022,2873.32
3/4/2022,2873.32
3/3/2022,2871.15
3/2/2022,2869.97
3/1/2022,2867.69
2/28/2022,2865.73
2/27/2022,2864.45
2/26/2022,2864.45
2/25/2022,2864.45
2/24/2022,2862.4
2/23/2022,2861.67
2/22/2022,2859.2
2/21/2022,2858.16
2/20/2022,2860.95
2/19/2022,2860.95
2/18/2022,2860.95
2/17/2022,2858.39
2/16/2022,2857.5
2/15/2022,2855.07
2/14/2022,2854.53
2/13/2022,2853.89
2/12/2022,2853.89
2/11/2022,2853.89
2/10/2022,2853.36
2/9/2022,2852.77
2/8/2022,2851.34
2/7/2022,2851.65
2/6/2022,2850.8
2/5/2022,2850.8
2/4/2022,2850.8
2/3/2022,2850.8
2/2/2022,2850.8
2/1/2022,2850.8
1/31/2022,2850.26
1/30/2022,2849.5
1/29/2022,2849.5
1/28/2022,2849.5
1/27/2022,2849.22
1/26/2022,2849.65
1/25/2022,2849.23
1/24/2022,2849.55
1/23/2022,2849.53
1/22/2022,2849.53
1/21/2022,2849.53
1/20/2022,2849.08
1/19/2022,2849.69
1/18/2022,2849.24
1/17/2022,2849.48
1/16/2022,2849.87
1/15/2022,2849.87
1/14/2022,2849.87
1/13/2022,2849
1/12/2022,2849.42
1/11/2022,2848.63
1/10/2022,2849.4
1/9/2022,2849.55
1/8/2022,2849.55
1/7/2022,2849.55
1/6/2022,2848.75
1/5/2022,2849.27
1/4/2022,2848.69
1/3/2022,2849.48
1/2/2022,2849.34
1/1/2022,2849.34
