"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2022","1,765.55","1,765.55","1,765.55","1,765.55","","-0.09%"
"08/17/2022","1,767.20","1,767.20","1,767.20","1,767.20","","-0.43%"
"08/16/2022","1,774.85","1,774.85","1,774.85","1,774.85","","-0.10%"
"08/15/2022","1,776.60","1,776.60","1,776.60","1,776.60","","-0.86%"
"08/12/2022","1,792.10","1,792.10","1,792.10","1,792.10","","-0.26%"
"08/11/2022","1,796.70","1,796.70","1,796.70","1,796.70","","0.09%"
"08/10/2022","1,795.05","1,795.05","1,795.05","1,795.05","","-0.01%"
"08/09/2022","1,795.25","1,795.25","1,795.25","1,795.25","","0.63%"
"08/08/2022","1,784.05","1,784.05","1,784.05","1,784.05","","0.61%"
"08/05/2022","1,773.25","1,773.25","1,773.25","1,773.25","","-0.56%"
"08/04/2022","1,783.20","1,783.20","1,783.20","1,783.20","","1.25%"
"08/03/2022","1,761.25","1,761.25","1,761.25","1,761.25","","-1.04%"
"08/02/2022","1,779.75","1,779.75","1,779.75","1,779.75","","0.41%"
"08/01/2022","1,772.40","1,772.40","1,772.40","1,772.40","","1.08%"
"07/29/2022","1,753.40","1,753.40","1,753.40","1,753.40","","-0.01%"
"07/28/2022","1,753.50","1,753.50","1,753.50","1,753.50","","2.30%"
"07/27/2022","1,714.05","1,714.05","1,714.05","1,714.05","","-0.35%"
"07/26/2022","1,720.05","1,720.05","1,720.05","1,720.05","","0.07%"
"07/25/2022","1,718.90","1,718.90","1,718.90","1,718.90","","-1.04%"
"07/22/2022","1,736.95","1,736.95","1,736.95","1,736.95","","1.87%"
"07/21/2022","1,705.10","1,705.10","1,705.10","1,705.10","","-0.25%"
"07/20/2022","1,709.30","1,709.30","1,709.30","1,709.30","","-0.22%"
"07/19/2022","1,713.05","1,713.05","1,713.05","1,713.05","","-0.35%"
"07/18/2022","1,719.05","1,719.05","1,719.05","1,719.05","","0.76%"
"07/15/2022","1,706.15","1,706.15","1,706.15","1,706.15","","0.32%"
"07/14/2022","1,700.70","1,700.70","1,700.70","1,700.70","","-1.39%"
"07/13/2022","1,724.60","1,724.60","1,724.60","1,724.60","","-0.35%"
"07/12/2022","1,730.70","1,730.70","1,730.70","1,730.70","","-0.53%"
"07/11/2022","1,740.00","1,740.00","1,740.00","1,740.00","","0.10%"
"07/08/2022","1,738.20","1,738.20","1,738.20","1,738.20","","-0.56%"
"07/07/2022","1,747.95","1,747.95","1,747.95","1,747.95","","-0.36%"
"07/06/2022","1,754.30","1,754.30","1,754.30","1,754.30","","-1.00%"
"07/05/2022","1,772.00","1,772.00","1,772.00","1,772.00","","-2.01%"
"07/04/2022","1,808.40","1,808.40","1,808.40","1,808.40","","0.61%"
"07/01/2022","1,797.45","1,797.45","1,797.45","1,797.45","","-1.08%"
"06/30/2022","1,817.00","1,817.00","1,817.00","1,817.00","","-0.04%"
"06/29/2022","1,817.75","1,817.75","1,817.75","1,817.75","","-0.07%"
"06/28/2022","1,819.05","1,819.05","1,819.05","1,819.05","","-0.40%"
"06/27/2022","1,826.30","1,826.30","1,826.30","1,826.30","","0.05%"
"06/24/2022","1,825.45","1,825.45","1,825.45","1,825.45","","-0.89%"
"06/23/2022","1,841.90","1,841.90","1,841.90","1,841.90","","0.00%"
"06/22/2022","1,841.85","1,841.85","1,841.85","1,841.85","","0.09%"
"06/21/2022","1,840.25","1,840.25","1,840.25","1,840.25","","0.20%"
"06/20/2022","1,836.50","1,836.50","1,836.50","1,836.50","","-0.27%"
"06/17/2022","1,841.55","1,841.55","1,841.55","1,841.55","","0.82%"
"06/16/2022","1,826.50","1,826.50","1,826.50","1,826.50","","0.15%"
"06/15/2022","1,823.75","1,823.75","1,823.75","1,823.75","","0.30%"
"06/14/2022","1,818.30","1,818.30","1,818.30","1,818.30","","-0.69%"
"06/13/2022","1,830.85","1,830.85","1,830.85","1,830.85","","0.05%"
"06/10/2022","1,830.00","1,830.00","1,830.00","1,830.00","","-0.80%"
"06/09/2022","1,844.85","1,844.85","1,844.85","1,844.85","","-0.44%"
"06/08/2022","1,852.95","1,852.95","1,852.95","1,852.95","","0.18%"
"06/07/2022","1,849.60","1,849.60","1,849.60","1,849.60","","0.13%"
"06/06/2022","1,847.20","1,847.20","1,847.20","1,847.20","","0.12%"
"06/01/2022","1,844.90","1,844.90","1,844.90","1,844.90","","0.34%"
"05/31/2022","1,838.70","1,838.70","1,838.70","1,838.70","","-0.88%"
"05/30/2022","1,854.95","1,854.95","1,854.95","1,854.95","","0.17%"
"05/27/2022","1,851.80","1,851.80","1,851.80","1,851.80","","0.19%"
"05/26/2022","1,848.25","1,848.25","1,848.25","1,848.25","","0.06%"
"05/25/2022","1,847.20","1,847.20","1,847.20","1,847.20","","-1.07%"
"05/24/2022","1,867.10","1,867.10","1,867.10","1,867.10","","0.59%"
"05/23/2022","1,856.20","1,856.20","1,856.20","1,856.20","","1.20%"
"05/20/2022","1,834.20","1,834.20","1,834.20","1,834.20","","-0.53%"
"05/19/2022","1,844.00","1,844.00","1,844.00","1,844.00","","1.84%"
"05/18/2022","1,810.65","1,810.65","1,810.65","1,810.65","","-0.79%"
"05/17/2022","1,825.00","1,825.00","1,825.00","1,825.00","","0.86%"
"05/16/2022","1,809.50","1,809.50","1,809.50","1,809.50","","-0.11%"
"05/13/2022","1,811.55","1,811.55","1,811.55","1,811.55","","-1.39%"
"05/12/2022","1,837.05","1,837.05","1,837.05","1,837.05","","-0.80%"
"05/11/2022","1,851.95","1,851.95","1,851.95","1,851.95","","-0.29%"
"05/10/2022","1,857.35","1,857.35","1,857.35","1,857.35","","-0.19%"
"05/09/2022","1,860.90","1,860.90","1,860.90","1,860.90","","-1.14%"
"05/06/2022","1,882.35","1,882.35","1,882.35","1,882.35","","-0.53%"
"05/05/2022","1,892.30","1,892.30","1,892.30","1,892.30","","1.54%"
"05/04/2022","1,863.65","1,863.65","1,863.65","1,863.65","","-0.32%"
"05/03/2022","1,869.70","1,869.70","1,869.70","1,869.70","","-2.18%"
"04/29/2022","1,911.30","1,911.30","1,911.30","1,911.30","","1.21%"
"04/28/2022","1,888.50","1,888.50","1,888.50","1,888.50","","0.14%"
"04/27/2022","1,885.80","1,885.80","1,885.80","1,885.80","","-0.99%"
"04/26/2022","1,904.60","1,904.60","1,904.60","1,904.60","","0.51%"
"04/25/2022","1,895.00","1,895.00","1,895.00","1,895.00","","-2.40%"
"04/22/2022","1,941.55","1,941.55","1,941.55","1,941.55","","-0.11%"
"04/21/2022","1,943.70","1,943.70","1,943.70","1,943.70","","-0.30%"
"04/20/2022","1,949.55","1,949.55","1,949.55","1,949.55","","-0.74%"
"04/19/2022","1,964.00","1,964.00","1,964.00","1,964.00","","0.04%"
"04/14/2022","1,963.25","1,963.25","1,963.25","1,963.25","","-0.68%"
"04/13/2022","1,976.75","1,976.75","1,976.75","1,976.75","","0.81%"
"04/12/2022","1,960.85","1,960.85","1,960.85","1,960.85","","0.48%"
"04/11/2022","1,951.55","1,951.55","1,951.55","1,951.55","","0.52%"
"04/08/2022","1,941.40","1,941.40","1,941.40","1,941.40","","0.47%"
"04/07/2022","1,932.40","1,932.40","1,932.40","1,932.40","","0.12%"
"04/06/2022","1,930.15","1,930.15","1,930.15","1,930.15","","-0.72%"
"04/05/2022","1,944.05","1,944.05","1,944.05","1,944.05","","0.71%"
"04/04/2022","1,930.30","1,930.30","1,930.30","1,930.30","","0.05%"
"04/01/2022","1,929.40","1,929.40","1,929.40","1,929.40","","-0.66%"
"03/31/2022","1,942.15","1,942.15","1,942.15","1,942.15","","0.43%"
"03/30/2022","1,933.85","1,933.85","1,933.85","1,933.85","","1.25%"
